Nombre,Sexo,Circular,Origen y Comentarios
Aaron,M,354/54,
Aaronit,M,012-DGRC-2000,
Abaco,M,SANTORAL,
Abalen,M,012-DGRC-2000,
Abbas,M,012-DGRC-2000,
Abbott,M,012-DGRC-2000,
Abdala,M,012-DGRC-2000,
Abdas,M,SANTORAL,
Abdecalas,M,SANTORAL,
Abdel,M,012-DGRC-2000,
Abderico,M,SANTORAL,
Abdias,M,947/83,
Abdiel,M,012-DGRC-2000,
Abdieso,M,SANTORAL,
Abdo,M,13/95,
Abdon,M,COMUN,ORIGEN: HEBREO
,,,"SIGNIFICADO: SIERVO DE DIOS, HIJO DE HILLE I, Y ORIUN- DO DE PIRATON"
,,,GENERO: MASCULINO.  
Abdul,M,24/92,ORIGEN: ARABE
,,,SIGNIFICADO; SIERVO DE DIOS.
,,,GENERO: MASCULINO  
Abdullah,M,4-Aug,
Abe,M,012-DGRC-2000,
Abel,M,878/946,
Abelardo,M,COMUN,ORIGEN: FRANCES
,,,"SIGNIFICADO: SEMEJANTE A LA ABEJA, RELACION HECHA POR LA LABORIOSIDAD DEL ANIMALITO, EL GRAN TRABAJADOR, VARIACION DE EBERARDO NOMBRE: COMUN"
,,,GENERO: MASCULINO  
Abenamar,M,PCIA BS AS,
Abencio,M,COMUN,
Aberardo,M,SANTORAL,
Abercio,M,SANTORAL,ORIGEN: GRIEGO
,,,SIGNIFICADO: EL PRIMER HIJO
,,,GENERO: MASCULINO  
Abey,M,012-DGRC-2000,
Abhay,M,012-DGRC-2000,
Abi,A,ACOMP/OTRO 5/01,
Abibo,M,SANTORAL,
Abibon,M,SANTORAL,
Abie,M,012-DGRC-2000,
Abiel,M,012-DGRC-2000,
Abijah,M,012-DGRC-2000,
Abilio,M,012-DGRC-2000,
Abimael,M,1-May,
Abisai,M,Dec-99,
Abner,M,14/91,ORIGEN : HEBREO
,,,"SIGNIFICADO: EL PADRE (DIOS), HIJO DE NER, DE LA TRIBU DE BENJAMIN, POR LO TANTO SOBRINO DE SAUL. A SU MUERTE DAVID LE DEDICO UNA HERMOSA LAMENTACION"
,,,GENERO: MASCULINO.  
Abraham,M,708/68,ORIGEN: HEBREO
